N_dim,CumVarRat
433,0.997827258052553
434,0.9978626727311815
435,0.9978979016348268
436,0.9979326138549215
437,0.9979670666363609
438,0.9980011490723342
439,0.9980343658241051
440,0.9980673692343011
441,0.9980996857240494
442,0.9981315971596472
443,0.9981630853517265
444,0.9981938169466247
445,0.9982243083478969
446,0.9982547561904064
447,0.9982843274056116
448,0.9983133799111216
449,0.9983422937948562
450,0.9983710777204666
451,0.9983992214008418
452,0.9984269829033702
453,0.9984542494082602
454,0.9984812048904688
455,0.998507739153625
456,0.9985342113231992
457,0.9985606002618707
458,0.9985866808261519
459,0.9986123011449772
460,0.9986377447130577
461,0.9986624828534267
462,0.9986868439272868
463,0.9987108937090988
464,0.998734639716683
465,0.9987578164884108
466,0.9987809033159217
467,0.9988037231070047
468,0.9988262853670143
469,0.9988484720405056
470,0.9988702086492179
471,0.9988916516908505
472,0.9989129253047767
473,0.9989341102803424
474,0.9989546985619264
475,0.9989748694715649
476,0.9989947578597465
477,0.9990145695403115
478,0.9990341336304138
479,0.9990533408717704
480,0.9990724359592895
481,0.9990914138542739
482,0.999109895736762
483,0.9991280312950132
484,0.9991456601775902
485,0.9991632733755338
486,0.999180523008366
487,0.9991975991039456
488,0.9992142463836096
489,0.9992307580370302
490,0.9992472565574124
491,0.9992636055444384
492,0.9992796593053596
493,0.9992951974599645
494,0.9993105039081943
495,0.9993253339922785
496,0.9993397997470987
497,0.9993541866331878
498,0.9993680506073862
499,0.9993817740921133
500,0.9993952149365853
501,0.9994085506831003
502,0.999421529461021
503,0.9994342027828174
504,0.9994466877578903
505,0.999459108694246
506,0.999471381032205
507,0.9994833709601386
508,0.999495027774437
509,0.9995066243660123
510,0.9995178106732937
511,0.9995288444545084
512,0.9995398516326655
513,0.9995505482787329
514,0.9995612035444555
515,0.999571461122401
516,0.999581519236311
517,0.9995913798395264
518,0.9996011295752989
519,0.9996108233194191
520,0.9996203138775382
521,0.9996296546577884
522,0.9996386963487559
523,0.9996474874039469
524,0.9996561440658994
525,0.9996647034642235
526,0.9996732072836874
527,0.9996816310394532
528,0.9996898020080912
529,0.9996977951153971
530,0.9997056370194207
531,0.9997134536499482
532,0.9997209364664501
533,0.9997282330527604
534,0.9997354123988033
535,0.9997424811385998
536,0.999749395732638
537,0.9997562495985165
538,0.9997629106793083
539,0.999769389936695
540,0.9997758388555084
541,0.9997821748276993
542,0.9997884419698264
543,0.9997944879403592
544,0.9998003958207815
545,0.9998062661302686
546,0.9998120816114384
547,0.9998178205964952
548,0.9998234252108711
549,0.9998289338846429
550,0.9998343847086374
551,0.9998393722306658
552,0.999844351206066
553,0.9998492232667929
554,0.9998539281329152
555,0.9998585144723194
556,0.9998629801643759
557,0.9998673121417013
558,0.9998715108857088
559,0.9998756253298072
560,0.9998796039453112
561,0.9998834266572024
562,0.9998870090918918
563,0.9998905511927384
564,0.9998939371329355
565,0.9998972833643365
566,0.999900580951117
567,0.9999037811986874
568,0.9999069251121651
569,0.9999100531309971
570,0.9999131582649414
571,0.9999159575592963
572,0.9999186762503206
573,0.9999213875207145
574,0.999924043805923
575,0.9999266700813094
576,0.9999292473865002
577,0.9999317788123309
578,0.9999342911411195
579,0.9999367487045473
580,0.9999391703801747
581,0.9999415133257038
582,0.9999438084793395
583,0.9999460413333751
584,0.9999482292247863
585,0.9999503098546286
586,0.9999523625037802
587,0.9999543776903387
588,0.9999563318871808
589,0.9999582480761796
590,0.9999600755481874
591,0.9999617918197841
592,0.9999634846412804
593,0.9999651461400737
594,0.9999667565445646
595,0.9999682705103976
596,0.9999697734038426
597,0.9999712665264489
598,0.9999727215681826
599,0.999974061050515
600,0.9999753811508794
601,0.9999766643286777
602,0.9999779054918491
603,0.9999790795704343
604,0.999980235344876
605,0.9999812628043482
606,0.9999822776914419
607,0.9999832428724642
608,0.9999841973634608
609,0.9999851200013261
610,0.9999860369717553
611,0.9999869470584032
612,0.9999878159981821
613,0.9999886026446423
614,0.9999893610278235
615,0.99999009640054
616,0.9999908159046009
617,0.9999914919560745
618,0.9999921391194774
619,0.9999927301478636
620,0.9999932503205552
621,0.9999937488147892
622,0.9999942362302662
623,0.9999947154313095
624,0.9999951556144467
625,0.9999955876335471
626,0.9999959938126628
627,0.9999963710262825
628,0.9999967427780403
629,0.9999970928655586
630,0.9999974201203945
631,0.9999976987838233
632,0.9999979493022271
633,0.9999981669790192
634,0.9999983796180117
635,0.9999985461117902
636,0.9999986960419133
637,0.9999988390085931
638,0.9999989808005196
639,0.999999121246759
640,0.9999992539180039
641,0.9999993838443613
642,0.9999995031176484
643,0.9999996072707356
644,0.9999996936778704
645,0.999999756138522
646,0.9999998138754151
647,0.999999864292094
648,0.9999999132019685
649,0.9999999493809952
650,0.9999999620990646
651,0.9999999739010507
652,0.9999999836229596
653,0.999999992016062
654,0.9999999952600727
655,0.9999999982714107
656,0.999999998909913
657,0.999999999436077
658,0.9999999998468874
659,0.9999999999894248
660,0.9999999999999619
661,0.9999999999999999
662,0.9999999999999999
663,0.9999999999999999
664,0.9999999999999999
665,0.9999999999999999
666,0.9999999999999999
667,0.9999999999999999
668,0.9999999999999999
669,0.9999999999999999
670,0.9999999999999999
671,0.9999999999999999
672,0.9999999999999999
673,0.9999999999999999
674,0.9999999999999999
675,0.9999999999999999
676,0.9999999999999999
677,0.9999999999999999
678,0.9999999999999999
679,0.9999999999999999
680,0.9999999999999999
681,0.9999999999999999
682,0.9999999999999999
683,0.9999999999999999
684,0.9999999999999999
685,0.9999999999999999
